OccupationalGrade,OccupationalCode,OccupationalTitle,EstimatedEmployment2008,ProjectedEmployment2018,NetChange20082018,PercentChange20082018,MeanAnnualWages2008,EntryAnnualWages2008,ExperiencedAnnualWages2008,20082018OpeningsGrowth,20082018OpeningsReplacement,20082018OpeningsTotal,AnnualOpeningsGrowth,AnnualOpeningsReplacement,AnnualOpeningsTotal,EducationTrainingRequired,WIARegion
A+,29-1111,Registered Nurses,6053,7979,1926,31.82%,$56670.00,$41480.00,$64260.00,1926,1057,2983,193,106,299,Associate degree,Ozark
A,29-1111,Registered Nurses,1400,1580,173,12.34%,$56670.00,$41480.00,$64260.00,173,245,418,17,25,42,Associate degree,Northeast
A,29-1111,Registered Nurses,2460,2780,327,13.31%,$56670.00,$41480.00,$64260.00,327,429,756,33,43,76,Associate degree,Southwest
A+,29-1111,Registered Nurses,7000,8530,1523,21.75%,$56670.00,$41480.00,$64260.00,1523,1223,2746,152,122,274,Associate degree,Central
A+,29-1111,Registered Nurses,2160,2460,301,13.92%,$56670.00,$41480.00,$64260.00,301,378,679,30,38,68,Associate degree,Northwest
A,29-1111,Registered Nurses,11540,12780,1243,10.77%,$56670.00,$41480.00,$64260.00,1243,2015,3258,124,202,326,Associate degree,Kansas City Metro
A,29-1111,Registered Nurses,23250,26120,2870,12.34%,$56670.00,$41480.00,$64260.00,2870,4062,6932,287,406,693,Associate degree,St. Louis Metro
A+,29-1111,Registered Nurses,1880,2260,385,20.53%,$56670.00,$41480.00,$64260.00,385,328,713,39,33,72,Associate degree,West Central
A+,29-1111,Registered Nurses,1280,1650,368,28.68%,$56670.00,$41480.00,$64260.00,368,224,592,37,22,59,Associate degree,South Central
D,29-1081,Podiatrists,0,0,0,0%,$140270.00,$86250.00,$167280.00,0,1,1,0,0,0,First professional degree,Northeast
D,29-1081,Podiatrists,14,14,0,0%,$140270.00,$86250.00,$167280.00,0,2,2,0,0,0,First professional degree,Ozark
D,29-1081,Podiatrists,0,0,0,0%,$140270.00,$86250.00,$167280.00,0,1,1,0,0,0,First professional degree,Northwest
D,29-1081,Podiatrists,10,10,-1,-7.14%,$140270.00,$86250.00,$167280.00,0,2,2,0,0,0,First professional degree,Central
D,29-1081,Podiatrists,10,10,-1,-11.11%,$140270.00,$86250.00,$167280.00,0,2,2,0,0,0,First professional degree,Southeast
B-,29-1081,Podiatrists,0,0,0,0%,$140270.00,$86250.00,$167280.00,0,1,1,0,0,0,First professional degree,West Central
B,29-1081,Podiatrists,10,10,1,20%,$140270.00,$86250.00,$167280.00,1,1,2,0,0,0,First professional degree,South Central
D,29-1081,Podiatrists,10,10,0,0%,$140270.00,$86250.00,$167280.00,0,1,1,0,0,0,First professional degree,Southwest
D,29-1081,Podiatrists,60,50,-4,-7.14%,$140270.00,$86250.00,$167280.00,0,10,10,0,1,1,First professional degree,St. Louis Metro
D,29-1081,Podiatrists,30,30,-3,-10.71%,$140270.00,$86250.00,$167280.00,0,5,5,0,1,1,First professional degree,Kansas City Metro
B,29-1071,Physician Assistants,20,20,2,12.5%,$65590.00,$35690.00,$80550.00,2,3,5,0,0,0,Master's degree,Northeast
B,29-1071,Physician Assistants,140,160,18,12.86%,$65590.00,$35690.00,$80550.00,18,25,43,2,3,5,Master's degree,Kansas City Metro
B,29-1071,Physician Assistants,270,320,49,18.15%,$65590.00,$35690.00,$80550.00,49,49,98,5,5,10,Master's degree,St. Louis Metro
B,29-1071,Physician Assistants,20,30,4,19.05%,$65590.00,$35690.00,$80550.00,4,4,8,0,0,0,Master's degree,Northwest
B,29-1071,Physician Assistants,20,30,4,16.67%,$65590.00,$35690.00,$80550.00,4,4,8,0,0,0,Master's degree,Southwest
B,29-1071,Physician Assistants,70,90,16,22.22%,$65590.00,$35690.00,$80550.00,16,13,29,2,1,3,Master's degree,Central
A-,29-1071,Physician Assistants,20,20,8,50%,$65590.00,$35690.00,$80550.00,8,3,11,1,0,1,Master's degree,South Central
A-,29-1071,Physician Assistants,66,89,23,34.85%,$65590.00,$35690.00,$80550.00,23,12,35,2,1,3,Master's degree,Ozark
B,29-1071,Physician Assistants,20,20,4,22.22%,$65590.00,$35690.00,$80550.00,4,3,7,0,0,0,Master's degree,West Central
B,29-1071,Physician Assistants,40,50,9,23.68%,$65590.00,$35690.00,$80550.00,9,7,16,1,1,2,Master's degree,Southeast
B+,29-1069,"Physicians and Surgeons, All Other",180,190,10,5.71%,$156270.00,$53080.00,$207860.00,10,31,41,1,3,4,First professional degree,Northwest
B+,29-1069,"Physicians and Surgeons, All Other",1040,1060,26,2.5%,$156270.00,$53080.00,$207860.00,26,183,209,3,18,21,First professional degree,Kansas City Metro
B+,29-1069,"Physicians and Surgeons, All Other",590,640,43,7.26%,$156270.00,$53080.00,$207860.00,43,104,147,4,10,14,First professional degree,Central
B+,29-1069,"Physicians and Surgeons, All Other",1920,2030,114,5.95%,$156270.00,$53080.00,$207860.00,114,337,451,11,34,45,First professional degree,St. Louis Metro
B+,29-1069,"Physicians and Surgeons, All Other",130,140,9,6.87%,$156270.00,$53080.00,$207860.00,9,23,32,1,2,3,First professional degree,Northeast
B+,29-1069,"Physicians and Surgeons, All Other",170,180,11,6.59%,$156270.00,$53080.00,$207860.00,11,29,40,1,3,4,First professional degree,West Central
A-,29-1069,"Physicians and Surgeons, All Other",471,558,87,18.47%,$156270.00,$53080.00,$207860.00,87,83,170,9,8,17,First professional degree,Ozark
B+,29-1069,"Physicians and Surgeons, All Other",190,210,14,7.29%,$156270.00,$53080.00,$207860.00,14,34,48,1,3,4,First professional degree,Southwest
B+,29-1069,"Physicians and Surgeons, All Other",280,300,16,5.69%,$156270.00,$53080.00,$207860.00,16,49,65,2,5,7,First professional degree,Southeast
A-,29-1069,"Physicians and Surgeons, All Other",140,160,22,15.6%,$156270.00,$53080.00,$207860.00,22,25,47,2,3,5,First professional degree,South Central
B-,29-1067,Surgeons,320,350,21,6.48%,$219550.00,ND,ND,21,57,78,2,6,8,First professional degree,St. Louis Metro
B-,29-1067,Surgeons,80,80,6,7.89%,$219550.00,ND,ND,6,13,19,1,1,2,First professional degree,Central
B-,29-1067,Surgeons,30,30,2,6.25%,$219550.00,ND,ND,2,6,8,0,1,1,First professional degree,Southwest
B,29-1067,Surgeons,82,98,16,19.51%,$219550.00,ND,ND,16,14,30,2,1,3,First professional degree,Ozark
B,29-1067,Surgeons,30,30,2,7.41%,$219550.00,ND,ND,2,5,7,0,1,1,First professional degree,Northwest
B,29-1067,Surgeons,30,30,6,24%,$219550.00,ND,ND,6,4,10,1,0,1,First professional degree,South Central
B-,29-1067,Surgeons,150,160,8,5.41%,$219550.00,$0.00,$0.00,8,26,34,1,3,4,First professional degree,Kansas City Metro
B-,29-1067,Surgeons,50,50,2,4%,$219550.00,ND,ND,2,9,11,0,1,1,First professional degree,Southeast
B-,29-1067,Surgeons,20,20,2,10%,$219550.00,ND,ND,2,4,6,0,0,0,First professional degree,Northeast
B,29-1067,Surgeons,20,20,4,20%,$219550.00,ND,ND,4,4,8,0,0,0,First professional degree,West Central
B-,29-1066,Psychiatrists,40,40,1,2.86%,$154880.00,$99600.00,$182510.00,1,6,7,0,1,1,First professional degree,Southeast
B-,29-1066,Psychiatrists,20,20,1,4.55%,$154880.00,$99600.00,$182510.00,1,4,5,0,0,0,First professional degree,Southwest
B,29-1066,Psychiatrists,20,20,3,18.75%,$154880.00,$99600.00,$182510.00,3,3,6,0,0,0,First professional degree,South Central
B,29-1066,Psychiatrists,20,20,2,12.5%,$154880.00,$99600.00,$182510.00,2,3,5,0,0,0,First professional degree,West Central
B-,29-1066,Psychiatrists,100,100,3,3.09%,$154880.00,$99600.00,$182510.00,3,17,20,0,2,2,First professional degree,Kansas City Metro
B,29-1066,Psychiatrists,54,64,10,18.52%,$154880.00,$99600.00,$182510.00,10,10,20,1,1,2,First professional degree,Ozark
B-,29-1066,Psychiatrists,210,220,11,5.21%,$154880.00,$99600.00,$182510.00,11,37,48,1,4,5,First professional degree,St. Louis Metro
B-,29-1066,Psychiatrists,10,10,1,7.69%,$154880.00,$99600.00,$182510.00,1,2,3,0,0,0,First professional degree,Northeast
B-,29-1066,Psychiatrists,70,70,5,7.69%,$154880.00,$99600.00,$182510.00,5,11,16,1,1,2,First professional degree,Central
B,29-1066,Psychiatrists,20,20,2,10.53%,$154880.00,$99600.00,$182510.00,2,3,5,0,0,0,First professional degree,Northwest
B,29-1065,"Pediatricians, General",40,48,8,20%,$150290.00,$104330.00,$173260.00,8,7,15,1,1,2,First professional degree,Ozark
B,29-1065,"Pediatricians, General",10,10,1,10%,$150290.00,$104330.00,$173260.00,1,2,3,0,0,0,First professional degree,West Central
B,29-1065,"Pediatricians, General",10,20,3,25%,$150290.00,$104330.00,$173260.00,3,2,5,0,0,0,First professional degree,Northwest
B-,29-1065,"Pediatricians, General",10,10,1,10%,$150290.00,$104330.00,$173260.00,1,2,3,0,0,0,First professional degree,Northeast
B,29-1065,"Pediatricians, General",10,20,3,23.08%,$150290.00,$104330.00,$173260.00,3,2,5,0,0,0,First professional degree,South Central
B-,29-1065,"Pediatricians, General",20,20,1,6.67%,$150290.00,$104330.00,$173260.00,1,3,4,0,0,0,First professional degree,Southwest
B-,29-1065,"Pediatricians, General",40,40,3,7.89%,$150290.00,$104330.00,$173260.00,3,7,10,0,1,1,First professional degree,Central
B-,29-1065,"Pediatricians, General",70,80,3,4.11%,$150290.00,$104330.00,$173260.00,3,13,16,0,1,1,First professional degree,Kansas City Metro
B,29-1065,"Pediatricians, General",160,170,12,7.5%,$150290.00,$104330.00,$173260.00,12,28,40,1,3,4,First professional degree,St. Louis Metro
B-,29-1065,"Pediatricians, General",30,30,1,4%,$150290.00,$104330.00,$173260.00,1,4,5,0,0,0,First professional degree,Southeast
B-,29-1064,Obstetricians and Gynecologists,40,40,1,2.7%,$196270.00,ND,ND,1,7,8,0,1,1,First professional degree,Southeast
B-,29-1064,Obstetricians and Gynecologists,20,20,1,5%,$196270.00,ND,ND,1,4,5,0,0,0,First professional degree,Northwest
B-,29-1064,Obstetricians and Gynecologists,230,250,15,6.44%,$196270.00,ND,ND,15,41,56,2,4,6,First professional degree,St. Louis Metro
B-,29-1064,Obstetricians and Gynecologists,110,110,5,4.63%,$196270.00,$0.00,$0.00,5,19,24,1,2,3,First professional degree,Kansas City Metro
B,29-1064,Obstetricians and Gynecologists,10,20,2,14.29%,$196270.00,ND,ND,2,2,4,0,0,0,First professional degree,Northeast
B,29-1064,Obstetricians and Gynecologists,59,72,13,22.03%,$196270.00,ND,ND,13,10,23,1,1,2,First professional degree,Ozark
B-,29-1064,Obstetricians and Gynecologists,20,30,1,4.17%,$196270.00,ND,ND,1,4,5,0,0,0,First professional degree,Southwest
B,29-1064,Obstetricians and Gynecologists,20,20,4,22.22%,$196270.00,ND,ND,4,3,7,0,0,0,First professional degree,South Central
B,29-1064,Obstetricians and Gynecologists,20,20,3,20%,$196270.00,ND,ND,3,3,6,0,0,0,First professional degree,West Central
B,29-1064,Obstetricians and Gynecologists,60,60,5,8.93%,$196270.00,ND,ND,5,10,15,1,1,2,First professional degree,Central
B-,29-1063,"Internists, General",270,290,17,6.3%,$190970.00,$117320.00,$227800.00,17,48,65,2,5,7,First professional degree,St. Louis Metro
B,29-1063,"Internists, General",30,30,2,8%,$190970.00,$117320.00,$227800.00,2,4,6,0,0,0,First professional degree,Southwest
B,29-1063,"Internists, General",65,77,12,18.46%,$190970.00,$117320.00,$227800.00,12,11,23,1,1,2,First professional degree,Ozark
B,29-1063,"Internists, General",20,20,2,12.5%,$190970.00,$117320.00,$227800.00,2,3,5,0,0,0,First professional degree,Northeast
B,29-1063,"Internists, General",20,20,5,26.32%,$190970.00,$117320.00,$227800.00,5,3,8,1,0,1,First professional degree,South Central
B-,29-1063,"Internists, General",40,40,2,5.26%,$190970.00,$117320.00,$227800.00,2,7,9,0,1,1,First professional degree,Southeast
B-,29-1063,"Internists, General",120,130,5,4.17%,$190970.00,$117320.00,$227800.00,5,21,26,1,2,3,First professional degree,Kansas City Metro
B-,29-1063,"Internists, General",60,70,5,8.2%,$190970.00,$117320.00,$227800.00,5,11,16,1,1,2,First professional degree,Central
B,29-1063,"Internists, General",20,20,2,12.5%,$190970.00,$117320.00,$227800.00,2,3,5,0,0,0,First professional degree,West Central
B,29-1063,"Internists, General",20,20,2,10%,$190970.00,$117320.00,$227800.00,2,4,6,0,0,0,First professional degree,Northwest
B+,29-1062,Family and General Practitioners,110,110,4,3.74%,$150980.00,$66830.00,$193060.00,4,19,23,0,2,2,First professional degree,Northeast
A-,29-1062,Family and General Practitioners,130,140,14,10.77%,$150980.00,$66830.00,$193060.00,14,23,37,1,2,3,First professional degree,West Central
A-,29-1062,Family and General Practitioners,464,558,94,20.26%,$150980.00,$66830.00,$193060.00,94,82,176,9,8,17,First professional degree,Ozark
B+,29-1062,Family and General Practitioners,280,300,15,5.34%,$150980.00,$66830.00,$193060.00,15,49,64,2,5,7,First professional degree,Southeast
B+,29-1062,Family and General Practitioners,160,170,10,6.37%,$150980.00,$66830.00,$193060.00,10,28,38,1,3,4,First professional degree,Northwest
B+,29-1062,Family and General Practitioners,190,200,11,5.73%,$150980.00,$66830.00,$193060.00,11,34,45,1,3,4,First professional degree,Southwest
A-,29-1062,Family and General Practitioners,480,530,53,11.02%,$150980.00,$66830.00,$193060.00,53,85,138,5,9,14,First professional degree,Central
B+,29-1062,Family and General Practitioners,1800,1880,82,4.55%,$150980.00,$66830.00,$193060.00,82,317,399,8,32,40,First professional degree,St. Louis Metro
A-,29-1062,Family and General Practitioners,120,140,24,20.87%,$150980.00,$66830.00,$193060.00,24,20,44,2,2,4,First professional degree,South Central
B+,29-1062,Family and General Practitioners,840,860,25,2.99%,$150980.00,$66830.00,$193060.00,25,147,172,3,15,18,First professional degree,Kansas City Metro
B,29-1061,Anesthesiologists,20,20,2,13.33%,$220120.00,ND,ND,2,3,5,0,0,0,First professional degree,West Central
B,29-1061,Anesthesiologists,20,30,2,8.7%,$220120.00,ND,ND,2,4,6,0,0,0,First professional degree,Southwest
B-,29-1061,Anesthesiologists,40,40,1,2.7%,$220120.00,ND,ND,1,7,8,0,1,1,First professional degree,Southeast
B,29-1061,Anesthesiologists,20,20,4,21.05%,$220120.00,ND,ND,4,3,7,0,0,0,First professional degree,South Central
B,29-1061,Anesthesiologists,59,73,14,23.73%,$220120.00,ND,ND,14,10,24,1,1,2,First professional degree,Ozark
B,29-1061,Anesthesiologists,60,60,5,8.93%,$220120.00,ND,ND,$5,$10,15,$1,$1,2,First professional degree,Central
B-,29-1061,Anesthesiologists,20,20,1,6.67%,$220120.00,ND,ND,1,3,4,0,0,0,First professional degree,Northeast
B,29-1061,Anesthesiologists,20,20,2,10.53%,$220120.00,ND,ND,2,3,5,0,0,0,First professional degree,Northwest
B-,29-1061,Anesthesiologists,240,250,14,5.91%,$220120.00,ND,ND,14,42,56,1,4,5,First professional degree,St. Louis Metro
B-,29-1061,Anesthesiologists,110,110,5,4.59%,$220120.00,$0.00,$0.00,5,19,24,1,2,3,First professional degree,Kansas City Metro
A+,29-1051,Pharmacists,590,690,94,15.88%,$106240.00,$84040.00,$117340.00,$94,$131,225,$9,$13,22,First professional degree,Central
A,29-1051,Pharmacists,1200,1330,134,11.19%,$106240.00,$84040.00,$117340.00,134,266,400,13,27,40,First professional degree,Kansas City Metro
B+,29-1051,Pharmacists,2180,2280,97,4.45%,$106240.00,$84040.00,$117340.00,97,483,580,10,48,58,First professional degree,St. Louis Metro
A+,29-1051,Pharmacists,170,210,38,22.09%,$106240.00,$84040.00,$117340.00,38,38,76,4,4,8,First professional degree,Northeast
A,29-1051,Pharmacists,554,664,110,19.86%,$106240.00,$84040.00,$117340.00,110,123,233,11,12,23,First professional degree,Ozark
A-,29-1051,Pharmacists,250,270,24,9.8%,$106240.00,$84040.00,$117340.00,24,54,78,2,5,7,First professional degree,Southwest
A+,29-1051,Pharmacists,130,150,23,17.83%,$106240.00,$84040.00,$117340.00,23,29,52,2,3,5,First professional degree,South Central
A-,29-1051,Pharmacists,190,210,21,11.17%,$106240.00,$84040.00,$117340.00,21,42,63,2,4,6,First professional degree,Northwest
A,29-1051,Pharmacists,340,390,46,13.45%,$106240.00,$84040.00,$117340.00,46,76,122,5,8,13,First professional degree,Southeast
A,29-1051,Pharmacists,200,220,24,12.24%,$106240.00,$84040.00,$117340.00,24,43,67,2,4,6,First professional degree,West Central
A-,29-1041,Optometrists,40,40,4,11.43%,$92120.00,$60550.00,$107900.00,4,12,16,0,1,1,First professional degree,Southwest
A-,29-1041,Optometrists,30,40,6,19.35%,$92120.00,$60550.00,$107900.00,6,10,16,1,1,2,First professional degree,South Central
B-,29-1041,Optometrists,160,170,8,4.88%,$92120.00,$60550.00,$107900.00,8,55,63,1,6,7,First professional degree,Kansas City Metro
B-,29-1041,Optometrists,340,360,20,5.92%,$92120.00,$60550.00,$107900.00,20,113,133,2,11,13,First professional degree,St. Louis Metro
B-,29-1041,Optometrists,30,30,2,7.69%,$92120.00,$60550.00,$107900.00,2,9,11,0,1,1,First professional degree,West Central
A-,29-1041,Optometrists,86,101,15,17.44%,$92120.00,$60550.00,$107900.00,15,29,44,2,3,5,First professional degree,Ozark
B-,29-1041,Optometrists,30,30,2,7.69%,$92120.00,$60550.00,$107900.00,2,9,11,0,1,1,First professional degree,Northeast
B-,29-1041,Optometrists,80,90,5,6.1%,$92120.00,$60550.00,$107900.00,5,27,32,1,3,4,First professional degree,Central
B+,29-1041,Optometrists,60,60,2,3.64%,$92120.00,$60550.00,$107900.00,2,18,20,0,2,2,First professional degree,Southeast
B-,29-1041,Optometrists,30,30,2,6.67%,$92120.00,$60550.00,$107900.00,2,10,12,0,1,1,First professional degree,Northwest
C,29-1031,Dietitians and Nutritionists,90,90,4,4.6%,$42130.00,$25120.00,$50640.00,4,29,33,0,3,3,Bachelor's degree,Southeast
C,29-1031,Dietitians and Nutritionists,610,630,21,3.47%,$42130.00,$25120.00,$50640.00,21,202,223,2,20,22,Bachelor's degree,St. Louis Metro
C,29-1031,Dietitians and Nutritionists,141,159,18,12.77%,$42130.00,$25120.00,$50640.00,18,47,65,2,5,7,Bachelor's degree,Ozark
D+,29-1031,Dietitians and Nutritionists,300,300,4,1.34%,$42130.00,$25120.00,$50640.00,4,100,104,0,10,10,Bachelor's degree,Kansas City Metro
C,29-1031,Dietitians and Nutritionists,60,60,2,3.51%,$42130.00,$25120.00,$50640.00,2,19,21,0,2,2,Bachelor's degree,West Central
C,29-1031,Dietitians and Nutritionists,50,50,2,4.35%,$42130.00,$25120.00,$50640.00,2,15,17,0,2,2,Bachelor's degree,Northeast
C,29-1031,Dietitians and Nutritionists,60,60,1,1.69%,$42130.00,$25120.00,$50640.00,1,20,21,0,2,2,Bachelor's degree,Southwest
C,29-1031,Dietitians and Nutritionists,40,40,2,5.41%,$42130.00,$25120.00,$50640.00,2,12,14,0,1,1,Bachelor's degree,South Central
C,29-1031,Dietitians and Nutritionists,180,190,11,6.08%,$42130.00,$25120.00,$50640.00,11,60,71,1,6,7,Bachelor's degree,Central
C,29-1031,Dietitians and Nutritionists,60,60,1,1.64%,$42130.00,$25120.00,$50640.00,1,20,21,0,2,2,Bachelor's degree,Northwest
D,29-1029,"Dentists, All Other Specialists",ND,ND,0,ND,$187210.00,ND,ND,0,1,1,0,0,0,First professional degree,Southeast
D,29-1029,"Dentists, All Other Specialists",ND,ND,0,ND,$187210.00,ND,ND,0,5,5,0,1,1,First professional degree,St. Louis Metro
B-,29-1029,"Dentists, All Other Specialists",0,0,0,0%,$187210.00,ND,ND,0,1,1,0,0,0,First professional degree,West Central
B,29-1029,"Dentists, All Other Specialists",ND,ND,1,ND,$187210.00,ND,ND,1,1,2,0,0,0,First professional degree,South Central
D,29-1029,"Dentists, All Other Specialists",ND,ND,0,ND,$187210.00,ND,ND,0,0,0,0,0,0,First professional degree,Southwest
B,29-1029,"Dentists, All Other Specialists",10,10,1,14.29%,$187210.00,ND,ND,1,2,3,0,0,0,First professional degree,Central
D,29-1029,"Dentists, All Other Specialists",ND,ND,0,ND,$187210.00,ND,ND,0,1,1,0,0,0,First professional degree,Ozark
D,29-1029,"Dentists, All Other Specialists",20,20,-1,-6.25%,$187210.00,$0.00,$0.00,0,4,4,0,0,0,First professional degree,Kansas City Metro
F,29-1024,Prosthodontists,ND,ND,0,ND,ND,ND,ND,0,1,1,0,0,0,First professional degree,Southeast
F,29-1024,Prosthodontists,ND,ND,0,ND,ND,ND,ND,0,1,1,0,0,0,First professional degree,Northwest
F+,29-1024,Prosthodontists,ND,ND,0,ND,ND,ND,ND,0,1,1,0,0,0,First professional degree,West Central
F,29-1024,Prosthodontists,ND,ND,0,ND,ND,ND,ND,0,1,1,0,0,0,First professional degree,Central
F,29-1024,Prosthodontists,ND,ND,0,ND,ND,ND,ND,0,2,2,0,0,0,First professional degree,Ozark
D-,29-1024,Prosthodontists,ND,ND,1,ND,ND,ND,ND,1,3,4,0,0,0,First professional degree,Kansas City Metro
F,29-1024,Prosthodontists,ND,ND,0,ND,ND,ND,ND,0,6,6,0,1,1,First professional degree,St. Louis Metro
F,29-1024,Prosthodontists,ND,ND,0,ND,ND,ND,ND,0,1,1,0,0,0,First professional degree,Northeast
D,29-1024,Prosthodontists,ND,ND,1,ND,ND,ND,ND,1,1,2,0,0,0,First professional degree,Southwest
F,29-1024,Prosthodontists,ND,ND,0,ND,ND,ND,ND,0,1,1,0,0,0,First professional degree,South Central
B-,29-1023,Orthodontists,0,0,0,0%,$161880.00,$92740.00,$196450.00,0,1,1,0,0,0,First professional degree,West Central
D,29-1023,Orthodontists,0,0,0,0%,$161880.00,$92740.00,$196450.00,0,1,1,0,0,0,First professional degree,Northeast
D,29-1023,Orthodontists,10,10,0,0%,$161880.00,$92740.00,$196450.00,0,2,2,0,0,0,First professional degree,Southeast
D,29-1023,Orthodontists,20,20,-1,-5.56%,$161880.00,$92740.00,$196450.00,0,5,5,0,1,1,First professional degree,Kansas City Metro
B-,29-1023,Orthodontists,10,11,1,10%,$161880.00,$92740.00,$196450.00,1,3,4,0,0,0,First professional degree,Ozark
D,29-1023,Orthodontists,0,0,0,0%,$161880.00,$92740.00,$196450.00,0,1,1,0,0,0,First professional degree,Northwest
B,29-1023,Orthodontists,0,10,1,25%,$161880.00,$92740.00,$196450.00,1,1,2,0,0,0,First professional degree,South Central
B,29-1023,Orthodontists,0,10,1,25%,$161880.00,$92740.00,$196450.00,1,1,2,0,0,0,First professional degree,Southwest
D,29-1023,Orthodontists,10,10,0,0%,$161880.00,$92740.00,$196450.00,0,2,2,0,0,0,First professional degree,Central
D,29-1023,Orthodontists,40,40,0,0%,$161880.00,$92740.00,$196450.00,0,11,11,0,1,1,First professional degree,St. Louis Metro
D,29-1022,Oral and Maxillofacial Surgeons,ND,ND,0,ND,$208340.00,ND,ND,0,2,2,0,0,0,First professional degree,Central
D,29-1022,Oral and Maxillofacial Surgeons,0,0,0,0%,$208340.00,ND,ND,0,1,1,0,0,0,First professional degree,South Central
D,29-1022,Oral and Maxillofacial Surgeons,0,0,0,0%,$208340.00,ND,ND,0,1,1,0,0,0,First professional degree,Northwest
D,29-1022,Oral and Maxillofacial Surgeons,10,10,-1,-16.67%,$208340.00,ND,ND,0,2,2,0,0,0,First professional degree,Southeast
B-,29-1022,Oral and Maxillofacial Surgeons,ND,ND,0,ND,$208340.00,ND,ND,0,1,1,0,0,0,First professional degree,West Central
D,29-1022,Oral and Maxillofacial Surgeons,0,0,0,0%,$208340.00,ND,ND,0,1,1,0,0,0,First professional degree,Southwest
D,29-1022,Oral and Maxillofacial Surgeons,ND,ND,-2,ND,$208340.00,$0.00,$0.00,0,4,4,0,0,0,First professional degree,Kansas City Metro
D,29-1022,Oral and Maxillofacial Surgeons,30,30,-1,-3.33%,$208340.00,ND,ND,0,8,8,0,1,1,First professional degree,St. Louis Metro
B-,29-1022,Oral and Maxillofacial Surgeons,8,9,1,12.5%,$208340.00,ND,ND,1,2,3,0,0,0,First professional degree,Ozark
D,29-1022,Oral and Maxillofacial Surgeons,0,0,0,0%,$208340.00,ND,ND,0,1,1,0,0,0,First professional degree,Northeast
B-,29-1021,"Dentists, General",70,70,0,0%,$166830.00,$81230.00,$209630.00,0,21,21,0,2,2,First professional degree,Northwest
B-,29-1021,"Dentists, General",140,130,-5,-3.68%,$166830.00,$81230.00,$209630.00,0,38,38,0,4,4,First professional degree,Southeast
B+,29-1021,"Dentists, General",80,90,8,9.76%,$166830.00,$81230.00,$209630.00,8,23,31,1,2,3,First professional degree,South Central
B+,29-1021,"Dentists, General",90,90,1,1.15%,$166830.00,$81230.00,$209630.00,1,24,25,0,2,2,First professional degree,Southwest
B-,29-1021,"Dentists, General",60,60,0,0%,$166830.00,$81230.00,$209630.00,0,17,17,0,2,2,First professional degree,Northeast
B-,29-1021,"Dentists, General",820,800,-16,-1.96%,$166830.00,$81230.00,$209630.00,0,227,227,0,23,23,First professional degree,St. Louis Metro
C,29-1021,"Dentists, General",380,370,-14,-3.69%,$166830.00,$81230.00,$209630.00,0,105,105,0,11,11,First professional degree,Kansas City Metro
B-,29-1021,"Dentists, General",200,200,-3,-1.5%,$166830.00,$81230.00,$209630.00,0,56,56,0,6,6,First professional degree,Central
B+,29-1021,"Dentists, General",60,60,2,3.51%,$166830.00,$81230.00,$209630.00,2,16,18,0,2,2,First professional degree,West Central
B+,29-1021,"Dentists, General",215,233,18,8.37%,$166830.00,$81230.00,$209630.00,18,60,78,2,6,8,First professional degree,Ozark
B,29-1011,Chiropractors,20,20,2,9.09%,$68030.00,$31530.00,$86280.00,2,4,6,0,0,0,First professional degree,West Central
B-,29-1011,Chiropractors,75,84,9,12%,$68030.00,$31530.00,$86280.00,9,13,22,1,1,2,First professional degree,Ozark
B,29-1011,Chiropractors,30,30,2,7.41%,$68030.00,$31530.00,$86280.00,2,5,7,0,1,1,First professional degree,Northwest
B-,29-1011,Chiropractors,30,30,1,3.13%,$68030.00,$31530.00,$86280.00,1,6,7,0,1,1,First professional degree,Southwest
B-,29-1011,Chiropractors,20,20,1,4.35%,$68030.00,$31530.00,$86280.00,1,4,5,0,0,0,First professional degree,Northeast
B-,29-1011,Chiropractors,30,40,3,9.09%,$68030.00,$31530.00,$86280.00,3,6,9,0,1,1,First professional degree,South Central
B-,29-1011,Chiropractors,50,50,2,4.26%,$68030.00,$31530.00,$86280.00,2,8,10,0,1,1,First professional degree,Southeast
B-,29-1011,Chiropractors,70,70,3,4.35%,$68030.00,$31530.00,$86280.00,3,12,15,0,1,1,First professional degree,Central
B-,29-1011,Chiropractors,260,270,13,5%,$68030.00,$31530.00,$86280.00,13,46,59,1,5,6,First professional degree,St. Louis Metro
D,29-1011,Chiropractors,120,130,3,2.42%,$68030.00,$31530.00,$86280.00,3,22,25,0,2,2,First professional degree,Kansas City Metro
D-,27-4099,"Media and Communication Equipment Workers, All Other",0,0,0,0%,$56510.00,$31000.00,$69270.00,0,0,0,0,0,0,Moderate-term on-the-job training,Northwest
D-,27-4099,"Media and Communication Equipment Workers, All Other",0,0,0,0%,$56510.00,$31000.00,$69270.00,0,0,0,0,0,0,Moderate-term on-the-job training,Southwest
C,27-4099,"Media and Communication Equipment Workers, All Other",0,0,0,0%,$56510.00,$31000.00,$69270.00,0,1,1,0,0,0,Moderate-term on-the-job training,West Central
C,27-4099,"Media and Communication Equipment Workers, All Other",40,50,1,2.27%,$56510.00,$31000.00,$69270.00,1,11,12,0,1,1,Moderate-term on-the-job training,St. Louis Metro
D-,27-4099,"Media and Communication Equipment Workers, All Other",0,0,0,0%,$56510.00,$31000.00,$69270.00,0,0,0,0,0,0,Moderate-term on-the-job training,Southeast
